"job_id","job_title","business_name","work_type","job_type","job_description","pay_range","suburb","area","url","advertiser_id"
"74951950","National Systems/Projects Accountant","Medlog Australia Pty Ltd","Full time","Networks & Systems Administration ","MEDLOG is a global logistics and supply chain operator, specialising in wharf cartage, container and warehouse storage and handling. Building on decades of integrated logistics expertise, we are continually investing in infrastructure, assets, and people, as well as adapting to the latest trends in technology and digitalisation. Due to our rapid growth we are seeking an experienced National Systems/Projects Accountant to join our busy finance team at our Fremantle Head Office on a full-time permanent basis. You will be responsible for: Reporting to the CFO or other project managers as required. Assists finance team with achieving reporting deadlines. Providing project managers and clients with timely financial reports and budgets, as well as project forecasts. Preparing pre-billing reports for project managers to review. Manages the Accounting and Finance systems access and transition to new systems. Reviews project performance and identifies opportunities for improvement. Makes effective use of individual and team capabilities and negotiates responsibility for work outcomes. Is responsive to changes in requirements. Gathers and investigates information from diverse sources and explores new ideas and different viewpoints. Manages and establishes clear plans and timeframes for project implementation. We would like to hear from you if you have the following: Bachelor's Degree in accounting, or similar. Certified Public Accountant (CPA) or Certified Management Accountant (CMA) would be advantageous. 2-5 years' experience as a project accountant, or similar. Exceptional ability to prepare project budgets, financial forecasts, and tax reports. In-depth knowledge of best practices in accounting. This is a fantastic opportunity to join a well-established and reputable organisation offering career advancement and the ability to cross train in a multi-disciplined finance team.","","Fremantle, Perth WA","Fremantle & Southern Suburbs","https://www.seek.com.au/job/74951950","39994103"
"74957865","Junior/Graduate Front End Web Developer (React)","CTL Australia","Full time","Developers/Programmers ","Job Description: As a Junior/Graduate Front End Web Developer at CTL Australia, you will work closely with our experienced team to develop and maintain engaging web applications using React.js. You will have the opportunity to learn from seasoned professionals while making meaningful contributions to real-world projects. This is an excellent opportunity for recent graduates or those early in their career to gain hands-on experience in a supportive and collaborative environment.  Responsibilities: Collaborate with cross-functional teams to design, develop, and implement user-friendly web interfaces using React.js and React Native. Write clean, efficient code using Redux for state management in the React ecosystem. Debug full stack issues, focusing on Node.js RESTful APIs and cloud services like AWS or Azure for application performance and scalability. Stay up-to-date with emerging technologies and industry trends Keep up with tech trends, particularly in web and mobile app development, including PWAs and SSR. Engage in code reviews, providing feedback to promote a culture of learning and excellence. Offer ideas for product and process improvements, embracing new technologies and methodologies.  Requirements: Bachelor's degree in Computer Science, Engineering, or a related field. Strong understanding of HTML5, CSS3, and JavaScript, and React.js principles. Familiarity with React.js and its core principles Proficiency with Redux for state management and experience with Node.js. Familiarity with React Native for cross-platform mobile development. Experience with Git for version control and team collaboration. Excellent problem-solving, attention to detail, communication, and teamwork skills. Eagerness to learn and grow in a fast-paced environment Nice to Have: Experience with responsive design and mobile-first development Knowledge of modern web development tools and libraries Understanding of UI/UX principles Familiarity with Agile methodologies Benefits: Competitive salary Professional development opportunities, including training and conferences. Peaceful environment to work in.  How to Apply: If you are passionate about front end development and eager to kick-start your career with a forward-thinking company, we would love to hear from you! Please send your resume and cover letter to [email protected] with the subject line “Junior/Graduate Front End Web Developer Application” OR apply through Seek.  Join us in creating innovative solutions that make a difference. We look forward to welcoming you to our team!","$60,000 – $80,000 per year annual bonus available","Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74957865","44080520"
"74920023","Network Systems Administrator","Town of Claremont","Full time","Networks & Systems Administration Government - Local (Government & Defence)","The Town of Claremont is a progressive local government that was established in 1898 for the picturesque riverside suburbs of Claremont and Swanbourne.  It is a busy and forward focused local government with dedicated staff who are committed to making a difference at a local level. The Town was recently ranked Number 1 local government from a Community Scorecard, as voted by their community. The Town  offers great benefits such as a health and wellbeing program, additional superannuation contributions, flexible working arrangements, RDOs, free onsite parking and free access to an on-site gym and to the Claremont Aquatic Centre. The Town is seeking a full-time Network Systems Administrator skilled in key stakeholder engagement and priority management to influence continuous ICT improvement. The role will report to an ICT Manager and work alongside an IT Support Officer and GIS Officer.  Key responsibilities of the position include: Maintain and administer theTown’s data, wireless and telephony network, storage and Microsoft server and SOE infrastructure, as well as additional ICT infrastructure and systems. Overseeing the town's ICT privacy, backup and recovery systems to positively influence business continuity and disaster recovery. Maintenance and administration of the Town’s firewall and anti-virus systems. Contribute to the development of policies and procedures within the IT Governance Framework. Supporting the ICT team with up to level 3 desktop support. Assist with infrastructure, equipment and software upgrades and deployments. The Successful candidate will be skilled in working autonomously, work by business priority, be an effective communicator and have effective stakeholder engagement experience. The successful candidate’s core values will mirror the Town’s values of respect, integrity, quality communication and excellent customer service. The Town is an equal opportunity employer that values a diverse workplace. We encourage people of all ages, genders, culturally diverse backgrounds and those with a disability to apply. Applications close 19 April at 5pm. Please visit our Careers page for a copy of the position description and details on how to apply. Please direct all enquiries to Josh Collins, HR Advisor ( 9285 4300 ). Early applications are highly recommended as the Town will interview suitable candidates prior to the closing date","$86,763.44 per year, plus up to 14% superannuation","Claremont, Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74920023","26392680"
"74984274","Business Systems Support Officer","Department of Justice","Full time","Business/Systems Analysts Government - State (Government & Defence)","Advance your career by joining one of the most diverse public sector organisations in WA.  About the role The Business Systems Support Officer is responsible for the administration, maintenance, and support of the business applications, including undertaking a series of actions to resolve issues and support the implementation of technology solution and changes to existing systems. Benefits and Opportunities Access to flexible working arrangements, including working from home 4 weeks annual leave 3 days additional public sector holidays 15 days personal leave per annum 11% superannuation, full employer contribution Learning and Development opportunity programs Why join the team? When you join the Department of Justice, you become part of a people-focused organisation, working hard to make our community a fairer and safer place to live. We offer many different employment opportunities in locations around Western Australia. You will have a chance to make a real difference to your local communities and to the lives of those you work with.  Want to find out more about this role? To find out more about this opportunity and how to apply for this position , click on the Apply button or follow the direct link below.  Business Systems Support Officer (jobs.wa.gov.au)  Applications must be received before Monday, 22 April 2024 at 4:30pm.","$96,307 – $105,254 p.a. plus 11% Superannuation ","Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74984274","37739915"
"74990985","System Asset Manager","Department of Defence","Full time","Networks & Systems Administration Government - Federal (Government & Defence)","The Role As the Auxiliaries Systems Asset Manager, you will work in an integrated workforce within the Sustainment function of the Defence APS Asset Management Job Family and will be responsible for managing and coordinating development of sustainment strategies and plans, enabling delivery and reporting on the requirements and expectations of sustainment of submarine systems. This includes the delivery of required functional performance, supportability and obsolescence, reliability and maintenance requirements. You will be accountable under broad direction to undertake complex activities that ensure the sustainment of Defence assets, working within a framework of legislation, established principles, work practices and procedures in accordance with Defence mission and business objectives. You will work independently and with some authority and discretion to investigate information from other sources and explore innovative approaches to support the longer-term sustainment objectives, and will undertake objective, systematic analysis and draw accurate conclusions based on evidence, providing detailed technical, professional, and procedural advice in relation to complex sustainment activities. About our Team The Collins Submarine Program within Naval Shipbuilding and Sustainment Group is responsible for the maintenance and programmed upgrade of Australia’s Collins Class submarines. The Program works in partnership with the Royal Australian Navy and Industry to deliver the strategic submarine capability to the nation. Asset Management is the consolidated set of activities by an integrated team to ensure that the physical assets of Navy safely and effectively deliver their intended level of performance or, in practical terms, deliver submarines with the required utility at or above international benchmark levels of availability and efficiency. You will have access to generous and attractive working conditions as an Australian Public Servant in Defence. Working for Defence will support you in balancing work life with family and other priorities. You can access a variety of flexible working arrangements, occasionally working from home and working hours that are not always nine to five. Information on Defence employees’ working conditions, including an attractive remuneration package that may respond to industry variations and a generous superannuation contribution (15.4%), can be sourced from the Defence Employment Agreement. Our Ideal Candidate As the ideal candidate, you will have extensive knowledge of mechanical systems, preferably in the submarine environment. You will have sound decision-making and judgement skills, excellent communication and stakeholder engagement including the ability to communicate with influence. You will be accountable to set work priorities, providing clear and consistent communication, manage workflow and resources, motivate team members and actively lead group activities whilst working in busy Defence environment. You will be required to identify, anticipate and respond to stakeholders’ needs and expectations to achieve Defence outcomes, and will contribute towards ongoing self-improvement and professional development. The successful candidate may be required to travel interstate or overseas. Application Closing Date: Monday 22 April, 2024 For further information please review the job information pack, reference NSSG/02808/24 on https://defencecareers.nga.net.au/?jati=97C970F4-8229-CAD9-6263-DAA5350ABFA8.","$91,702 - $104,753 (APS 6) + Super","Rockingham, Perth WA","Rockingham & Kwinana","https://www.seek.com.au/job/74990985","3561584"
"74990793","Junior VC Coordinator","Herbert Smith Freehills","Full time","Help Desk & IT Support ","We are seeking a highly motivated and organized individual to join our team as a VC Coordinator on a permanent basis. This exciting opportunity is available in Melbourne, Sydney, Brisbane, or Perth.  As a VC Coordinator, you will be responsible for providing first-level support for the VC Centre operations, including coordinating, scheduling, managing rooms and resources, delivering internal and external video connectivity bookings, and supporting webinars. You will also operate computer-based booking systems, provide best practice advice on platform selection, and contribute to testing and providing on-site or production support for significant multi-platform VC's and complex AV events.  The ideal candidate will have: Strong PC/software skills, including comprehensive knowledge of Microsoft Teams, Zoom, and WebEx. Knowledge of audiovisual, webinar, and video conferencing technology is an advantage. Previous experience in first-level IT Help Desk, Audio Visual/Video Conferencing industry, or similar is also desirable  If you are a proactive, reliable, and highly organized individual with exceptional attention to detail and the ability to work autonomously and make informed decisions, we would love to hear from you.  Herbert Smith Freehills is proud to be awarded Number 1 'Attraction Firm' (Lawyers Weekly Legal Firm of Choice 2022-23), Law Firm of the Year (Australasian Law Awards, 2021) and Most Innovative International Law Firm, Asia Pacific (Financial Times Awards 2020).  What you can expect from us: We're a world leading international law firm with a global team of over 5,000 professionals. As the market leader in Australia, we are committed to high performance, collaboration, diversity and digital innovation. We are client-centred, commercially driven, and renowned for our solution-focused expertise. We will align your growth with our ambitions. We make your personal and professional growth our business. And as part of the team, our ambition is yours too. Wherever you are in your career: grow and help the firm grow with you. We will provide opportunities to learn on the job as well as a mix of learning opportunities tailored to you. Daily experiences, supportive challenges, team collaboration, mentors, and structured learning opportunities help you to expand your knowledge and reach your goals. We value your wellbeing, both at home and work and we place a strong emphasis on mental health. If you need support, you'll have it and we'll empower you to harness your personal strengths, navigate uncertainty, embrace opportunities, and effectively manage things within your control. For more benefits on offer such as our 26 weeks paid parental leave, holistic wellbeing fund or home office allowance please click/ copy this link into your browser - https://marketing.hsf.com/20/29354/landing-pages/hsf-benefits.pdf Join us to be part of a human, bold and outstanding team at Australia's market leading law firm.  We encourage applications from individuals of diverse backgrounds, including but not limited to First Nations, LGBTIQA+ and neurodivergent individuals, as well as individuals of all ages, cultures, genders, and abilities. We're a safe, inclusive, and equitable workplace and celebrate the diversity of our people.","","Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74990793","36891787"
"74922396","IT Operations Officer - Level 2","Liebherr Australia Pty Ltd","Full time","Networks & Systems Administration ","Liebherr-Australia is a member of the Liebherr group of companies, which employs over 42,000 people in more than 120 autonomously operated companies in over 50 countries around the world. The Liebherr group of companies attribute their leading position in diverse international markets to the quality and reputation of technologically advanced products, services and commitment to client satisfaction. As a member of a small and dynamic local team, you will report directly to the IT Operations Manager. In this role, you will be part of a national IT Support services team and will be accountable for delivering timely and efficient IT support services to the entire organization on a nationwide scale. The position requires a service-oriented individual who possesses composure, patience, and the ability to handle various inquiries and issues simultaneously, delivering prompt responses and accurate resolutions. Key responsibilities: Provision of IT support services Installing and configuring computer hardware, software, systems, servers, networks, printers, and scanners Monitoring and maintaining computer systems and networks Responding in a timely manner to service issues and requests Providing technical support to the branch (this may be in person or over the phone) Keep inventory of all equipment, software, and license users. Testing new technology and training users Active participation in the implementation of new IT solutions and services Provide on-the-job training and mentoring as required Qualifications & Experience 2 years Helpdesk experience Diploma in Information Technology is preferred Intermediate computer hardware and software installation skills Advanced problem-solving skills Knowledge in the distribution and disposal of classified data/documents/devices Change management and user adoption –Training and designing including e-learning Determining customer needs and establishing service solutions and forecasts Maintains a positive and optimistic attitude Communicates effectively and appropriately with others Customer facing service and consultative skills Benefits Employee Benefits including: 10 weeks paid parental leave, 5 bonus leave days, ability to purchase leave, ability to access LSL early Liebherr One Hub – Employee discount portal for great savings Training programs and opportunities to ensure your continued growth In house soft skills and Leadership training program Culture We are dedicated to seeing our employees work together in an environment that fosters the true meaning of collaboration; a culture that creates the highest quality, cutting-edge products, long-lasting relationships, and improved organisational and individual capabilities. We aim to give our employees an opportunity to grow and develop their careers Diversity and Inclusion Diversity and inclusion sits at the heart of the Liebherr Group’s Core Values.  We are committed to building a workforce that is representative of the communities in which we live, work and operate.  Our culture thrives on mutual respect, teamwork and diversity of thought in the workplace How to apply Please apply via the link below. Applications close  COB Friday 3 May 2024. Liebherr Australia would like to thank you for submitting your application. Candidates are advised that interviews may commence before closing date. Please note:  applicants successful in progressing past interview stage will be required to undergo a Pre-employment process including National Police Clearance and Medical Screening process which includes drug and alcohol testing. No agencies or third parties please. Email applications will not be accepted.","5 Bonus leave days","Redcliffe, Perth WA","Eastern Suburbs","https://www.seek.com.au/job/74922396","21240627"
"74982979","ICT Manager","Fortus Group","Full time","Management ","Position: ICT Manager Industry: Aftermarket Parts (Mining, Construction, and Agriculture) Location: Forrestdale, 6112 Salary Range: $100,000 - $140,000 + Eligible for Bonus + Superannuation Role Overview: We are seeking an experienced and dynamic ICT Manager to join our team. As an ICT Manager, you will also oversee and lead multifaceted ICT projects, ensuring efficient coordination, technical expertise, and successful project delivery within defined timelines and budgets. You will guide projects encompassing ICT equipment, programming, and web development, aligning them with organizational objectives and driving a culture of continuous improvement. Benefits of working with Founder Professional Growth: You’ll have the opportunity to lead and manage multifaceted ICT projects, enhancing your project management skills and expanding your expertise in SharePoint design and implementation. Impactful Work: By designing and implementing SharePoint sites for the company’s intranet and document management system, you’ll directly contribute to improving internal processes and collaboration. Competitive Compensation: The role offers a competitive salary, performance-based bonuses, and opportunities for professional development. Collaborative Environment: As part of a cross-functional team, you’ll collaborate with stakeholders, developers, and end-users, fostering a dynamic and supportive work culture. Employee Incentive Bonus: In recognition of outstanding performance and contributions, employees will be eligible to receive an incentive bonus based on team achievements. About Founder Founder is an emerging force in the aftermarkets parts brands which currently include Fortus Group, DEKK Rubber Tracks & Pads, and ITC Agriculture. We have been supplying parts to mining, construction, and quarry for over 23 years and now agricultural with the recent acquisition of ITC Agriculture. How to Apply: If you are passionate about leveraging your ICT expertise to drive efficiency and collaboration within an organization, we encourage you to apply! Please submit your resume and a cover letter outlining your relevant experience and why you are the ideal candidate for this role. If you would like to request for a Position Description, please email HR at  [email protected]","$100,000 – $140,000 per year + Eligible for Bonus","Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74982979","26354509"
"74949105","IT Service Desk Analyst","Ramsay Health Care","Full time","Help Desk & IT Support ","Permanent full-time opportunity  Based on site at Joondalup Health Campus / Hollywood Private Hospital - Perth, WA  Great opportunity to grow your career across a national network!     A great opportunity exists for someone who is looking to build on their IT/Helpdesk experience and grow their career. We are seeking an IT Service Desk Analyst to join our WA IT Service Delivery team based between Joondalup Health Campus or Hollywood Private Hospital.    The Opportunity  The IT Service Desk Analyst will be the first point of contact for customer service and technical support to Ramsay Health Care IT users. You will provide responsive and timely diagnostic and troubleshooting of IT incidents to meet the needs of the department’s operational objectives.  Your key accountabilities will include, but are not limited to:   Provision of responsive and high quality support and incident resolution  Perform initial analysis, prioritisation and resolution of service requests and referring to senior support where required  Effectively categorise, communicate and negotiate the priority of service requests and Incidents  Monitor the performance of local hospital IT infrastructure and ensure daily backups are complete     About You  You will display exceptional communication and interpersonal skills that enable you to build positive relationships and provide exceptional customer service to both technical and non-technical people.  As Ramsay Health Care is a multi-site organisation, multiple shifts extend the teams availability across the working day, participation in an on-call roster and travel between locations may be required from time to time.    Your Essential Skills and Experience   Minimum 2-3 years’ experience in an IT support role or helpdesk/service desk environment  Diploma in IT  Proven incident analysis and resolution skills  Demonstrated hardware diagnostic skills  Demonstrated working knowledge of supporting a wide variety of software applications  Computer literacy across Microsoft Office suite of programs and Windows desktop operating systems  A demonstrated working knowledge of networks (LAN/WAN) and their building blocks  Current and valid open drivers licence and access to a car     Desirable Skills and Experience   ITIL qualification  Previous experience working for a large multi-site organisation  Previous experience working in a health care environment  Experience working with patient administration systems, SAP, Chris21 or other industry specific applications     Remuneration  A base annual salary ranging from $70k - $85k + superannuation, based on experience level and qualifications, exclusive of penalties or allowances.    What’s in it for you?  Professional Advancement: Recognition, Rewards, Professional Development, and Employee referral programs. Free access to LinkedIn Learning with over 18,000 courses to advance your career and the Ramsay Leadership Academy to support career progression.  Discounts: Ramsay Rewards - Access great deals at over 100+ major retailers. Hospital, Allied Health & Pharmacy discounts - you’ll pay less for hospital cover and receive higher extras limits for things like General and Major Dental.  Health and Wellbeing: Flexible Leave Program, and a free Employee Assistance Program offering access to confidential counselling, coaching and support 24/7.  Leisure/Social/Financial: Discounts for leisure travel with selected Hotels, salary sacrifice opportunities e.g., airport lounge membership, self-education expenses, novated leasing and more.    The Organisation  Ramsay Health Care, a global operator of private hospitals and primary care clinics with over 70 Australian sites employing over 30,000 people. We have been focused on delivering high-quality patient care and practising the Ramsay Way philosophy of ‘ People Caring for People’ since 1964.  We believe in a bright future for our company and for every one of our employees – our wellbeing initiatives and learning and development programs have seen us grow as an industry leader and sought after employer.    Requirements   A  National Police check conducted within the previous 12 months may be asked of you     To Apply  All applications must be lodged online. Applications made by recruitment agencies will not be considered.  Applications close Sunday 5th May 2024    Ramsay Health Care is committed to Child Safety.  Details of our commitment are set out in our Code of Conduct, available at www.ramsayhealth.com","Salary of $70k - $85k + super based on exp & quals","Perth WA","CBD, Inner & Western Suburbs","https://www.seek.com.au/job/74949105","11072548"
"74919784","Business Systems Analyst (BSA)","City of Fremantle","Full time","Business/Systems Analysts Government - Local (Government & Defence)","Business Systems Analyst (BSA) Fixed Term, Full-Time, 3 Year Contract Salary: Circa $100,000 per annum + 11% Super Benefits: Free parking and safe bike storage End of trip facilities Health and Wellbeing program Discounted membership at Fremantle Leisure Centre  The City of Fremantle provides an eclectic mix of services, facilities, and events to residents, businesses, and visitors. We are committed to employing caring, competent, adaptable, and responsive, professional individuals who are excited about making Fremantle a welcoming city for all. We aim to do this through our culture, whereby we take ownership, bring creativity and innovative thinking, collaborate to create better outcomes, and celebrate our collective success.  We are now seeking a skilled and enthusiastic Business Systems Analyst to join our IT Projects Team within the Information Technology business unit. The City of Fremantle is embarking on exciting process enhancement projects centred around TechnologyOne ERP. The Business Systems Analyst role entails not only supporting and maintaining the City of Fremantle's corporate business systems but also involves a critical focus on documenting existing business workflows and driving process improvements. This includes collaborating with internal stakeholders to identify inefficiencies, bottlenecks, and areas for enhancement, and proposing innovative solutions aligned with organisational objectives. Through effective communication and collaboration, the Analyst facilitates the implementation of these improvements, ensuring seamless integration into existing systems and workflows. Overall, the role plays a vital part in continuously enhancing operational efficiency and effectiveness within the City of Fremantle.  Key responsibilities include: Collaborating with internal business units to identify, implement, and manage system and process changes, including developing business cases, system requirements, and project plans aligned with the City's project management framework. Ensuring the integrity and security of business systems, along with maintaining comprehensive documentation. Engaging with business units to facilitate the identification and rollout of new functionalities within the City's ERP (TechnologyOne). Leading end-to-end implementation of new business systems improvement projects, from requirement gathering to planning, implementation, testing, and data migration. Documenting business systems requirements, preparing project documentation, process maps, and systems architectural diagrams. Clearly articulating business systems requirements and translating them into improved solutions. Desired Skills and Qualifications: Possession of relevant tertiary qualifications or equivalent experience in Business System Analysis, Support, and Development. 2+ years of industry experience in a similar role, with proficiency in ERP system support (specifically TechnologyOne). Detailed knowledge of ICT trends, issues, and opportunities. Strong technical acumen, coupled with exceptional problem-solving abilities. Demonstrated familiarity with agile project management methodologies and the software development cycle. Advanced people skills for effective collaboration and communication with internal and external stakeholders to achieve positive outcomes. Some experience in database administration, SQL, ETL, BI, or programming would be advantageous.  The City of Fremantle promotes a workplace that actively seeks to include, welcome and value unique contributions of all people. The city encourages people of all ages, genders, and abilities, Aboriginal Australians, and people from culturally diverse backgrounds to apply for this job. If you have any access needs that may require reasonable adjustments to allow you to fully participate in the application and interview process, please contact the contact below. If you are an Aboriginal person or a person with a Disability who would like assistance with your application, please contact the Jobs and Skills Centre on 136464 .  Application Instructions: Click Apply to be directed to our website and submit your application. Navigate to Job Attachments to view position description and Application Instructions. Applicants should provide a current curriculum vitae and a two-page (maximum) cover letter in .pdf format.  You do not need to address the selection criteria. Your CV and cover letter should demonstrate how your skills and experience make you a suitable candidate for the advertised position. The estimated closure date is 5:00 Monday 29 April but we reserve the right to close the ad prior to this date. To discuss this opportunity in more detail please contact Joel Hurst on 08 9432 9704 . Applicants must have the right to work in Australia.","Circa $100,000 per annum + 11% Super","Fremantle, Perth WA","Fremantle & Southern Suburbs","https://www.seek.com.au/job/74919784","21996759"
